objectid,filename,title,description,date,state,county,city,subject,latitude,longitude,physical_description,original_collection,temporal_coverage,format,file_size,resolution,rightsholder,rightsstatement
coll001,coll001.jpg,Exploding stump,"A stump in the middle of a field of stumps is blown up using explosives. In the background is a pile of stumps, a train, and farm buildings. ",1921,Wisconsin,,,Stumpwood;tree stump removal;clearing of land;land use--rural;land settlement;farms;farm buildings;farm management--United States,,,Photograph; 18 x 13 cm,"Melvin E. Diemer collection, circa 1910-1955",1920-1929,image/jpeg,28.1 KB,631 ppi ,Wisconsin Historical Society,http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll002,coll002.jpg,Emerson Brothers Sawmill,Large piles of logs in front of Emerson Brothers Sawmill. The sawmill buildings are scattered with brush and piles of snow. The background contains fields of recently forested land. ,1908,Wisconsin,Iron,Emerson,Logging;timber;lumber camps;timber--harvesting;lumbering;forests and forestry;sawmills,46.264114,-90.227887,Photograph; 26 x 21 cm ,"Classified file, circa 1850s-1950s",1900-1909,image/jpeg,42.9 KB,500 ppi ,Wisconsin Historical Society,http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll003,coll003.jpg,Stump farm,"Land is partially cleared of stumps. There are piles of stumps, fallen timber, and stumps still in the ground. There is a road along the far edge of the field, and beyond that, a forest.",1885,Wisconsin,Lincoln,Merrill,Slashburning;slash (logging);land use;land use--rural;land settlement;cutover lands;farm management--United States,45.182636,-89.692036,Photograph; 18 x 13 cm ,"H.J. Perkins negatives and photographs, 1895",1880-1889,image/jpeg,36.9 KB,400 ppi,Wisconsin Historical Society,http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll004,coll004.jpg,Staged potato pile,"A bushel of potatoes are stacked in a pile in the middle of a field next to an upturned wood basket. The field contains stumps, fallen logs, small pines, and a wire fence. In the background are buildings. ",1895-09,Wisconsin,Oneida,Minocqua,Stumpwood;land use--rural;land settlement;cutover land;farm produce,45.871021,-89.706269,Photograph; 21 x 16 cm,"H.J. Perkins negatives and photographs, 1895",1890-1899,image/jpeg,33 KB,400 ppi,Wisconsin Historical Society,http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll005,coll005.jpg,Farm land of stumps,"Behind a fence constructed with wire and timber lies farmland scattered with stumps, some pulled and some still in the ground. There are farm buildings laundry hanging on a line, an automobile, and young forest in the background. ",1929-06,Wisconsin,Chippewa,,Farm buildings;cutover lands;stumpwood;slashburning;land use--rural;land settlement,45.082261,-91.275059,Photograph; 21 x 16 cm,,1920-1929,image/jpeg,28.3 KB,900 ppi,Wisconsin Historical Society,http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll006,coll006.jpg,Stump fence between two fields,"A fence constructed of tree stumps separates a field free of stumps, and a field scattered with stumps. In the distance, there are young forests, other farmland, and rolling hills. Northwestern Wisconsin.",1930,Wisconsin,,,Farm buildings;cutover lands;stumpwood;land use--rural;land settlement,,,Photograph; 18 x 13 cm ,"Wisconsin Conservation Department photographs and films, 1930-1957",1930-1939;New Deal,image/jpeg,38.1 KB,640 ppi,Wisconsin Historical Society,http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll007,coll007.jpg,Stumpland,"A field with small hills, scattered with stumps. On the horizon line there are buildings, potentially farm buildings, and wooded areas. ",1929,Wisconsin,,,Farm buildings;cutover lands;stumpwood;land use--rural;land settlement,,,Photograph; 17 x 12 cm,"Melvin E. Diemer collection, circa 1910-1955",1920-1929,image/jpeg,33.3 KB,300 ppi,Wisconsin Historical Society,http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll008,coll008.jpg,"Stumpland near Tipler, Wisconsin","A field of stumps and brush, recently logged and burned. In the background there is a fence and a building.",1937,Wisconsin,Florence ,Tipler,Stumpwood;slashburning;logging;forests and forestry;cutover lands,45.925614,-88.635493,Gelatin silver print; 16.4 x 24 cm,Farm Security Administration Photographs,1930-1939;New Deal,image/jpeg,400 KB,96 ppi,"From The New York Public Library, https://digitalcollections.nypl.org/items/83c62ef0-af97-0136-2d2a-39e9e9bca0a1?canvasIndex=0. ",http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll009,coll009.jpg,Logged cutover land near K Highway,Land along Highway K that has been logged and recently burned. There's a bluff along the horizon.,1937-05,Wisconsin,Forest,,Forests and forestry;logging; lumber;cutover lands,45.658676,-88.787421,Gelatin silver print; 14.8 x 23.7 cm,Farm Security Administration Photographs,1930-1939;New Deal,image/jpeg,288.7 KB,96 ppi,"From The New York Public Library, https://digitalcollections.nypl.org/items/50656860-af97-0136-7412-021f6732c401?canvasIndex=0",http://rightsstatements.org/vocab/NoC-US/1.0/ 
coll010,coll010.jpg,Discarded logs and stumps ,Hilly land strewn with discarded logs and stumps. The logs show evidence of recent burns. Small trees in the background remain.,1937-05,Wisconsin,Forest,,Forests and forestry;logging;lumber;cutover lands;slash (logging);logging debris;cutover lands,45.658676,-88.787421,Gelatin silver print; 20.3 x 25.4 cm,Farm Security Administration Photographs,1930-1939;New Deal,image/jpeg,408.9 KB,96 ppi,"From The New York Public Library, https://digitalcollections.nypl.org/items/5ccd2a70-af97-0136-586f-1914eaf7f8dd?canvasIndex=0",http://rightsstatements.org/vocab/NoC-US/1.0/ 
